24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:19:08 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:25:26 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:26:23 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:26:24 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:26:24 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:26:24 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:26:26 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/10
31-03-2026 17:26:26 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:26:30 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:26:30 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:30:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:30:47 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 17:30:47 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:30:47 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 17:30:47 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:30:48 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 17:30:48 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 17:30:48 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 17:30:48 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:29:44 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:29:44 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:31:16 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias1
31-03-2026 18:31:16 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:31:23 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:31:38 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:31:38 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:20 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:21 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:21 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:21 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:23 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:33:23 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:47 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:47 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:47 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:47 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:48 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:51 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:33:51 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:56 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:57 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:57 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:57 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:33:59 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:33:59 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:00 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:00 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:00 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:01 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:01 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:01 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias11
31-03-2026 18:34:01 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 18:34:35 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
